cust_id,equip_id,equip_notes,created_at,updated_at
704,1744,Service Furnace 3-11-02,05/26/2017,05/26/2017
704,1746,"NO AC , Contractor was not working 6-10-02",05/26/2017,05/26/2017
705,1748,"Replaced Ignitor   1-5-00
Replaced Sensor   1-5-00",05/26/2017,05/26/2017
706,1753,Service AC 7-10-02,05/26/2017,05/26/2017
712,1773,"Product Number:
MFG P1234705F",05/26/2017,05/26/2017
717,1783,"Added 2.5LBS Refrigerant 9-5-02
Serviced 9-5-02",05/26/2017,05/26/2017
717,1784,Rental,05/26/2017,05/26/2017
717,1786,Toni Fiume,05/26/2017,05/26/2017
717,5821,For Finch Turf office area.,05/26/2017,05/26/2017
717,6967,"For Electri-Kote
Part # 386-700-831",05/26/2017,05/26/2017
720,1792,"Diagnostic with Solve nosie complaint, noise due to main blower Fluctations. Repaired by adjusting bracket assembly.  11-16-98",05/26/2017,05/26/2017
721,1795,"No Heat   2-28-02
Blow Motor, Blower Wheel, Capacitor 5MFD was ordered",05/26/2017,05/26/2017
724,1805,We Did'nt install Shuster's House (this is on the card0,05/26/2017,05/26/2017
734,3964,Serviced Oil Furnace 11-4-02,05/26/2017,05/26/2017
736,1837,Upstairs,05/26/2017,05/26/2017
736,1838,Downstairs,05/26/2017,05/26/2017
741,1859,"42"" High
22"" Wide
51 1/2"" Deep",05/26/2017,05/26/2017
742,1860,Reconnect used  Tin G.E. air conditioner office complex for lighting rep.,05/26/2017,05/26/2017
742,1861,Kit Ordered,05/26/2017,05/26/2017
745,10595,"This coil is currently installed at his home.  Problem is that Robertson gave us the wrong coil for this unit which is not a matched coil.  We received the right coil after trying to register this system.  Tom Fogel, Robertson, ordered the right coil and it was delivered and it is in the garage for future use.",05/26/2017,05/26/2017
745,10633,This coil is the matched coil that should be in the unit.  The idea is to keep this coil until needed should something break down.  This coil is marked and in the garage.,05/26/2017,05/26/2017
750,8834,Product # P9885217C,05/26/2017,05/26/2017
755,2744,"No Heat, Removed Bird from motor 9-26-01.",05/26/2017,05/26/2017
760,1906,Serviced Heat Pump 5-8-02,05/26/2017,05/26/2017
772,2747,"Serviced Furnace 10-02-01
Serviced Furnace 9-25-02",05/26/2017,05/26/2017
777,1943,Replaced  Ignitor & Flame Sensor  2-13-01,05/26/2017,05/26/2017
779,1949,1st Floor,05/26/2017,05/26/2017
779,1950,1st Floor,05/26/2017,05/26/2017
779,1951,1st Floor,05/26/2017,05/26/2017
779,1952,2nd Floor,05/26/2017,05/26/2017
779,1953,2nd Floor,05/26/2017,05/26/2017
779,10310,Top Floor Unit.,05/26/2017,05/26/2017
780,1954,"Serviced Furnace 9-18-01
Serviced Furnace 9-13-02",05/26/2017,05/26/2017
780,3740,Changed Water Panel 9-13-02,05/26/2017,05/26/2017
786,1968,serviced 7-1-02,05/26/2017,05/26/2017
787,1969,"Replaced Ignitor  1-20-98
Replaced Combustion Fan  9-22-99",05/26/2017,05/26/2017
794,1987,Replaced two terminals for AC Unit 8-5-02,05/26/2017,05/26/2017
794,1988,Replaced Dower supply board & transformer  12-29-97,05/26/2017,05/26/2017
805,2032,Serviced gas furnace 11-29-01,05/26/2017,05/26/2017
808,2041,Serviced Heat Pump 2-15-02,05/26/2017,05/26/2017
811,2048,Warranty Work on AC unit 9-13-02,05/26/2017,05/26/2017
811,3741,Serviced Oil Furnace 9-13-02,05/26/2017,05/26/2017
