cust_id,equip_id,csa1,serial,model,manufacturer,product_type,date_installed,last_service_date,recommended_service,next_service_date,equipment_notes,warranty_policy,extended,warranty_length,warranty_type,expiration_date,warranty_notes,hide,created_at,updated_at
43,119,,R185RJX3F,TTRO48D100A1,Trane,Air Conditioner,05/02/2001,05/02/2001,12,05/02/2002,,,0,,,,,0,05/24/2017,05/24/2017
43,120,,0,760,AprilAire,Humidifier,11/29/2000,01/09/2008,12,01/09/2009,,,0,,,,,0,05/24/2017,05/24/2017
43,121,,0,2400,AprilAire,Air Cleaner,11/29/2000,06/17/2010,12,06/17/2011,,,0,,,,,0,05/24/2017,05/24/2017
,122,,,,,,,,0,,,,1,10 Year,Parts & Labor,,,0,05/24/2017,05/24/2017
44,123,105F,0911733703,GMH950703BX,Goodman,Gas Furnace,05/04/2010,02/06/2017,12,02/06/2018,,PA100176690,0,10 Year,Parts & Labor,05/01/2020,,0,05/24/2017,05/24/2017
44,124,,K26746250,TXCCO31C4HPB1,Trane,Coil,09/07/1995,05/30/2007,12,05/30/2008,,,0,,,,,0,05/24/2017,05/24/2017
44,125,105A,K17213785,TTXO3OC1OOA3,Trane,Air Conditioner,09/07/1995,08/17/2016,12,08/17/2017,,1238663,1,10 Year,Parts & Labor,09/07/2005,,0,05/24/2017,05/24/2017
45,126,,G182OO941,REMOVED  F14OC1OOAO,Trane,Air Cleaner,11/04/1992,11/04/1992,12,11/04/1993,,,1,10 Year,Parts & Labor,11/02/2002,,0,05/24/2017,05/24/2017
45,127,320F,G24518525,REMOVED  TUCO8OB42A1,Trane,Furnace,11/04/1992,01/29/2015,12,01/29/2016,Serviced Gas Furnace 11-1-01,*EquipNotes,1,10 Year,Parts & Labor,11/04/2002,,0,05/24/2017,05/24/2017
45,128,320A,F51243811,REMOVED  TTXO24C1OOAO,Trane,Air Conditioner,11/04/1992,05/05/2015,12,05/05/2016,,,1,10 Year,Parts & Labor,11/04/1992,,0,05/24/2017,05/24/2017
46,129,,L272U2OFF,TTXO36C1OOA1,Trane,Air Conditioner,04/29/1997,10/09/2001,12,10/09/2002,Serviced AC Unit 10-9-01,1433960,1,10 Year,Parts & Labor,04/27/2007,,0,05/24/2017,05/24/2017
46,130,,L34728205,TXAO42C4HPBO,Trane,AC Coil,04/29/1997,04/29/1997,12,04/29/1998,,1433960,1,10 Year,Parts & Labor,04/29/1997,,0,05/24/2017,05/24/2017
47,131,,J34544201,TUCO8OC942AO,Trane,Furnace,10/28/1994,04/09/2002,12,04/09/2003,"Smell Coming From Furnace, Part Was Ordered. 4-9-02",1136943,1,10 Year,Parts & Labor,10/25/2004,,0,05/24/2017,05/24/2017
47,132,,J3O743O44,TXCO31C4HPB1,Trane,Coil,10/28/1994,04/23/1996,12,04/23/1997,,1136943/1306670,1,10 Year,Parts & Labor,10/25/2004,,0,05/24/2017,05/24/2017
47,133,,LO34Y9YFF,TTXO3OC1OOA3,Trane,Air Conditioner,04/23/1996,07/18/2006,12,07/18/2007,,1306670,1,10 Year,Parts & Labor,04/23/2006,,0,05/24/2017,05/24/2017
48,134,221A,K324PEK7G,TUY100R9V4AO,Trane,Gas Furnace,11/17/1995,09/14/2016,12,09/14/2017,Serviced Gas Furnace 11-19-01,1238713,1,10 Year,Parts & Labor,11/14/2005,,0,05/24/2017,05/24/2017
48,135,221F,K324NUAFF,TTXO3OC1OOA3,Trane,Air Conditioner,11/17/1995,07/19/2016,12,07/19/2017,,1238713,1,10 Year,Parts & Labor,11/17/2005,,0,05/24/2017,05/24/2017
48,136,,K37734329,TXCO37C4HPB1,Trane,Coil,11/17/1995,11/17/1995,,11/17/1996,,1238713,1,10 Year,Parts & Labor,11/17/2005,,0,05/24/2017,05/24/2017
49,137,425F,P422SMP2G,TUDO8OR9V3JO,Trane,Gas Furnace,10/21/1999,10/19/2016,12,10/19/2017,,,1,10 Year,Parts & Labor,10/18/2009,,0,05/24/2017,05/24/2017
49,138,425A,P2284YGOCF,TTRO25C100A4,Trane,Air Conditioner,10/21/1999,06/08/2016,12,06/08/2017,,,0,,,,,0,05/24/2017,05/24/2017
49,139,,P2866EF56,TXCO31C4HPC,Trane,Coil,10/21/1999,08/10/2006,12,08/10/2007,,,0,,,,,0,05/24/2017,05/24/2017
49,140,,0,2400,Spacegard,Air Cleaner,10/21/1999,10/19/2016,12,10/19/2017,,,0,,,,,0,05/24/2017,05/24/2017
50,141,,J49510964,TUY100R9V4AO,Trane,Furnace,04/03/1995,09/01/2003,12,09/01/2004,,1168305,1,10 Year,Parts & Labor,03/31/2005,,0,05/24/2017,05/24/2017
51,142,,L384REK1G,TUD100R9V5H2,Trane,Gas Furnace,10/17/1996,03/29/2007,12,03/29/2008,"Serviced Furnace 10-1-01
Serviced Furnace 10-1-02",1360781,1,10 Year,Parts & Labor,10/15/2006,,0,05/24/2017,05/24/2017
51,143,,L30751672,TXA037C4HPB0,Trane,Coil,10/17/1996,10/17/1996,12,10/17/1997,,1360781,1,10 Year,Parts & Labor,10/17/2005,,0,05/24/2017,05/24/2017
52,144,,H51286895,TWX030C100A1,Trane,Heat Pump,11/04/1993,03/25/2004,12,03/25/2005,,1082210,1,10 Year,Parts & Labor,11/02/2003,Agreement #1082210,0,05/24/2017,05/24/2017
52,145,,H44391464,TWV030B140A,Trane,Air Handler,11/04/1993,01/01/2003,12,01/01/2004,,1082210,1,10 Year,Parts & Labor,11/04/2003,,0,05/24/2017,05/24/2017
52,146,,H47562341,BAY96X14140,Trane,Thermostat,11/04/1993,01/01/2003,12,01/01/2004,,,0,,,,,0,05/24/2017,05/24/2017
52,147,,0,110,AprilAire,Humidifier,11/04/1993,01/01/2003,12,01/01/2004,,,0,,,,,0,05/24/2017,05/24/2017
53,148,316A,LO81P32FF,TTX030C100A3,Trane,Air Conditioner,05/09/1996,06/30/2016,12,06/30/2017,,1306657,1,10 Year,Parts & Labor,05/07/2006,,0,05/24/2017,05/24/2017
53,149,,0,0800A18132,Rheem,Water Heater,10/21/2000,10/21/2000,12,10/21/2001,A 40 gallon hot water heater,,0,,,,,0,05/24/2017,05/24/2017
54,151,,P4536UM2G,TUD120R9V5J,Trane,Gas Furnace,05/12/2000,08/22/2016,12,08/22/2017,,1828575,1,10 Year,Parts & Labor,05/10/2010,,0,05/24/2017,05/24/2017
54,152,,M14761392,TXA037C4HPB,Trane,AC Coil,05/12/2000,05/12/2000,12,05/12/2001,,1828575,1,10 Year,Parts & Labor,05/12/2010,,0,05/24/2017,05/24/2017
54,153,,R0318X91F,TTX036C100A,Trane,Air Conditioner,05/12/2000,08/22/2016,12,08/22/2017,,1828575,1,10 Year,Parts & Labor,05/12/2010,,0,05/24/2017,05/24/2017
54,154,,0,TAYSTAT380,Trane,Thermostat,05/12/2000,05/12/2000,12,05/12/2001,,1828575,1,10 Year,Parts & Labor,05/12/2010,,0,05/24/2017,05/24/2017
55,155,,HO9782206,BEF140C100A0,Trane,Air Cleaner,07/15/1993,08/01/2003,12,08/01/2004,,1051504,1,5 Year,Parts & Labor,07/14/1998,,0,05/24/2017,05/24/2017
56,156,,N223N6F1G,TUD060R936H4,Trane,Furnace,06/10/1998,09/01/2003,12,09/01/2004,,1555986,1,10 Year,Parts & Labor,06/07/2008,,0,05/24/2017,05/24/2017
56,157,,N202N0CAF,TTR025C100A3,Trane,Air Conditioner,06/10/1998,09/01/2003,12,09/01/2004,,,0,,,,,0,05/24/2017,05/24/2017
